name,genre,platform,description,meta_score,user_score,type
"The Witcher 3","Action RPG","PC, PS4, Xbox","A dark emotional single-player story game like witcher with good graphics where you hunt monsters.",93,9.2,singleplayer
"Cyberpunk 2077","Action RPG","PC, PS5, Xbox","A futuristic sci-fi game with heavy narrative and stunning ray-traced graphics.",86,7.8,singleplayer
"Halo Infinite","FPS","PC, Xbox","An action-packed shooter featuring competitive multiplayer and a sci-fi campaign.",87,8.0,multiplayer
"Stardew Valley","Simulation","PC, Switch, Mobile","A relaxing, pixel-art farming sim with cozy vibes and town life.",89,8.8,singleplayer
"Elden Ring","Action RPG","PC, PS5, Xbox","A challenging and dark fantasy open-world game with intense boss fights and exploration.",96,8.5,singleplayer
"Super Mario Odyssey","Platformer","Switch","A colorful and joyful 3D platformer with creative mechanics and exploration.",97,9.0,singleplayer
"Apex Legends","Battle Royale","PC, PS4, Xbox","A fast-paced multiplayer hero shooter with tactical elements and teamwork.",88,8.2,multiplayer
"DOOM Eternal","FPS","PC, PS4, Xbox","A fast, brutal, and action-heavy shooter with incredible music and demons.",88,8.6,singleplayer
"Hades","Roguelike","PC, Switch, PS5","An addictive narrative-driven action roguelike with beautiful hand-drawn art and Greek mythology.",93,9.0,singleplayer
"Minecraft","Sandbox","PC, Console, Mobile","A massive open-ended world where you can build, explore, and survive with friends.",90,8.5,multiplayer
"God of War","Action Adventure","PC, PS4","An epic emotional journey of a father and son in Norse mythology with visceral combat.",94,9.2,singleplayer
"Animal Crossing: New Horizons","Simulation","Switch","A peaceful island life simulator where you can build, fish and relax with friends.",90,8.0,multiplayer
"Valorant","Tactical FPS","PC","A competitive 5v5 character-based tactical shooter. Precise gunplay meets unique abilities.",80,7.0,multiplayer
"Hollow Knight","Metroidvania","PC, Switch, PS4","A beautiful but challenging hand-drawn action-adventure game set in a bug kingdom.",90,9.0,singleplayer
"Celeste","Platformer","PC, Switch, PS4","A tight emotional platformer about overcoming anxiety and climbing a mountain.",92,8.8,singleplayer
"Red Dead Redemption 2","Action Adventure","PC, PS4, Xbox","An incredible and deeply immersive story-driven cowboy game with a vast open-world.",97,9.3,singleplayer
"Overwatch 2","Hero Shooter","PC, PS5, Xbox","A vibrant team-based hero shooter with a large cast of characters and abilities.",79,4.5,multiplayer
"Sekiro: Shadows Die Twice","Action Adventure","PC, PS4, Xbox","A brutally difficult ninja game with a deep focus on parrying and precise combat.",90,8.5,singleplayer
"The Last of Us Part I","Action Adventure","PC, PS5","A cinematic, emotional zombie survival story with tense stealth and combat.",95,9.0,singleplayer
"League of Legends","MOBA","PC","A highly competitive team-based strategy game where you destroy the enemy base.",78,6.0,multiplayer
"Persona 5 Royal","JRPG","PC, PS4, Switch","A stylish turn-based Japanese RPG with amazing music, anime style, and deep story.",95,9.2,singleplayer
"Disco Elysium","RPG","PC, Switch, PS4","A text-heavy narrative masterpiece about a detective solving a crime, full of deep choices.",97,9.0,singleplayer
"Monster Hunter: World","Action RPG","PC, PS4, Xbox","Hunt massive beasts in lush environments to craft better gear in co-op or solo.",90,8.4,multiplayer
"Bloodborne","Action RPG","PS4","A gothic, Lovecraftian horror game with fast-paced, aggressive combat and dread.",92,8.9,singleplayer
"Terraria","Sandbox","PC, Console, Mobile","A 2D pixel-art sandbox game blending survival, base building, and intense boss progression.",83,8.8,multiplayer
"Portal 2","Puzzle","PC, Xbox","A brilliant and funny physics-based puzzle game with an iconic story and co-op.",95,9.2,multiplayer
"Grand Theft Auto V","Action Adventure","PC, PS4, Xbox","An expansive open-world crime game with three protagonists and a massive multiplayer mode.",97,8.8,multiplayer
"Ghost of Tsushima","Action Adventure","PS4, PS5","A visually stunning samurai game featuring stealth, sword combat, and a gorgeous open world.",83,9.2,singleplayer
"Journey","Adventure","PC, PS4","A short, beautiful, and emotionally moving exploration game traveling across a vast desert.",92,8.5,multiplayer
"Outer Wilds","Adventure","PC, Console","A space exploration game built around a time loop, focusing on curiosity and uncovering ancient mysteries.",85,8.8,singleplayer
